 -> Main Loop Started

[CAN-SNIFFER] Booting...
timestamp_us,can_id,ide,dlc,data_hex
CANSNIFF: ConfigFilter(all) = OK
CANSNIFF: CAN_Start = OK
CANSNIFF: ActivateNotif = OK
CANSNIFF: ready (ring=256)
162239,23550729,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162240,23551726,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162289,23600058,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162289,23600892,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162340,23651062,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162341,23652059,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162390,23701226,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162391,23702235,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162440,23751391,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162441,23752399,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162490,23801559,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162491,23802569,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162540,23851734,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162541,23852732,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162590,23901905,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162591,23902915,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162641,23952082,1,0,0x10000010,8,FF,FF,7F,FF,01,00,00,05
162642,23953085,1,0,0x10000011,8,FF,FF,FF,FF,00,00,00,00
162691,24002257,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
162692,24003250,1,0,0x10000011,8,FF,FF,EB,D2,00,00,00,00
162741,24052419,1,0,0x10000010,8,01,C1,00,00,01,00,00,05
162742,24053424,1,0,0x10000011,8,FF,FF,EF,27,00,00,00,00
162791,24102592,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
162792,24103595,1,0,0x10000011,8,FF,FF,ED,ED,00,00,00,00
162841,24152763,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
162842,24153766,1,0,0x10000011,8,FF,FF,ED,0C,00,00,00,00
162891,24202932,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
162892,24203935,1,0,0x10000011,8,FF,FF,EC,2B,00,00,00,00
162942,24253106,1,0,0x10000010,8,01,C1,00,00,01,00,00,05
162943,24254104,1,0,0x10000011,8,FF,FF,F0,62,00,00,00,00
162992,24303276,1,0,0x10000010,8,01,C1,00,00,01,00,00,05
162993,24304285,1,0,0x10000011,8,FF,FF,EF,81,00,00,00,00
163042,24353454,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
163043,24354445,1,0,0x10000011,8,FF,FF,ED,ED,00,00,00,00
163092,24403627,1,0,0x10000010,8,01,C1,00,00,01,00,00,05
163093,24404620,1,0,0x10000011,8,FF,FF,EE,CD,00,00,00,00
163142,24453945,1,0,0x10000010,8,01,C1,FF,FF,01,00,00,05
163143,24454806,1,0,0x10000011,8,FF,FF,EE,47,00,00,00,00
163144,24455806,1,0,0x10000080,8,FF,FF,FF,FF,FF,FF,FF,FF
163145,24456810,1,0,0x10000020,8,00,7F,FF,11,64,00,FF,FF
163146,24457811,1,0,0x10000100,8,0D,96,0D,6F,01,05,FF,FF
163147,24458827,1,0,0x10000040,8,12,FF,FF,FF,FF,FF,FF,FF
163148,24459823,1,0,0x10000110,8,00,D2,00,C8,02,01,00,C8
163149,24460828,1,0,0x10000000,8,00,00,00,FF,FF,FF,FF,FF
163150,24461826,1,0,0x10000050,8,00,6E,00,46,00,03,7B,FF
163192,24503976,1,0,0x10000010,8,01,C0,00,00,01,00,00,05
163193,24504983,1,0,0x10000011,8,FF,FF,F0,65,00,00,00,00
163243,24554146,1,0,0x10000010,8,01,C0,00,00,01,00,00,05
163244,24555154,1,0,0x10000011,8,FF,FF,EF,2B,00,00,00,00
163293,24604311,1,0,0x10000010,8,01,C0,00,00,01,00,00,05
163294,24605317,1,0,0x10000011,8,FF,FF,EE,D1,00,00,00,00
163343,24654487,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163344,24655476,1,0,0x10000011,8,FF,FF,ED,97,00,00,00,00
163393,24704639,1,0,0x10000010,8,01,C0,00,00,01,00,00,05
163394,24705651,1,0,0x10000011,8,FF,FF,EF,85,00,00,00,00
163443,24754809,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163444,24755798,1,0,0x10000011,8,FF,FF,EC,B7,00,00,00,00
163493,24804980,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163494,24805971,1,0,0x10000011,8,FF,FF,ED,97,00,00,00,00
163544,24855143,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163545,24856132,1,0,0x10000011,8,FF,FF,EC,5D,00,00,00,00
163594,24905304,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163595,24906307,1,0,0x10000011,8,FF,FF,EC,5D,00,00,00,00
163644,24955520,0,0,0x675,8,1F,01,01,C0,05,A0,00,00
163644,24955817,1,0,0x10000010,8,01,C0,FF,FF,01,00,00,05
163645,24956469,1,0,0x10000011,8,FF,FF,EE,4B,00,00,00,00
163694,25005631,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163695,25006637,1,0,0x10000011,8,FF,FF,EF,2B,00,00,00,00
163744,25055805,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163745,25056800,1,0,0x10000011,8,FF,FF,F4,F4,00,00,00,00
163794,25105970,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163795,25106967,1,0,0x10000011,8,FF,FF,F1,46,00,00,00,00
163845,25156129,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163846,25157124,1,0,0x10000011,8,FF,FF,F1,F9,00,00,00,00
163895,25206282,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163896,25207291,1,0,0x10000011,8,FF,FF,F1,F9,00,00,00,00
163945,25256452,1,0,0x10000010,8,01,C0,00,00,02,00,00,05
163946,25257447,1,0,0x10000011,8,FF,FF,F0,65,00,00,00,00
