,24876,23868333,1,0,0x10000010,8,02,25,00,04,02,00,FF,05
24877,23868625,1,0,0x10000011,8,00,00,51,22,00,00,00,00
24927,23918495,1,0,0x10000010,8,02,25,00,00,02,00,FF,05
24927,23918786,1,0,0x10000011,8,00,00,08,CC,00,00,00,00
24977,23968679,1,0,0x10000010,8,02,25,00,02,02,00,FF,05
24977,23968971,1,0,0x10000011,8,00,00,27,10,00,00,00,00
25029,24021045,1,0,0x10000010,8,02,25,00,01,02,00,FF,05
25029,24021339,1,0,0x10000011,8,00,00,10,F4,00,00,00,00
25079,24071236,1,0,0x10000010,8,02,25,FF,FD,02,00,FF,05
25080,24071529,1,0,0x10000011,8,FF,FF,AE,DE,00,00,00,00
25129,24121096,1,0,0x10000010,8,02,25,FF,FF,02,00,FF,05
25130,24121385,1,0,0x10000011,8,FF,FF,DE,F3,00,00,00,00
25180,24171643,1,0,0x10000010,8,02,25,00,05,02,00,FF,05
25180,24171934,1,0,0x10000011,8,00,00,61,3B,00,00,00,00
25233,24224935,1,0,0x10000010,8,02,25,00,02,02,00,FF,05
25233,24225226,1,0,0x10000011,8,00,00,2A,ED,00,00,00,00
25287,24278514,1,0,0x10000010,8,02,25,00,03,02,00,FF,05
25287,24278807,1,0,0x10000011,8,FF,FF,F6,FD,00,00,00,00
25340,24331871,1,0,0x10000010,8,02,25,00,05,02,00,FF,05
25340,24332161,1,0,0x10000011,8,00,00,71,1D,00,00,00,00
25390,24382308,1,0,0x10000010,8,02,25,FF,FF,02,00,FF,05
25391,24382601,1,0,0x10000011,8,FF,FF,E3,07,00,00,00,00
25441,24432581,1,0,0x10000010,8,02,25,00,02,02,00,FF,05
25441,24432874,1,0,0x10000011,8,00,00,35,04,00,00,00,00
25491,24482687,1,0,0x10000010,8,02,25,FF,FF,02,00,FF,05
25491,24482975,1,0,0x10000011,8,FF,FF,E7,1B,00,00,00,00
25537,24529076,1,0,0x10000110,8,00,E1,00,D5,08,0A,00,DA
25538,24529364,1,0,0x10000050,8,01,45,03,11,00,04,C0,FF
25538,24529605,0,0,0x328,8,01,2C,02,4C,04,01,18,00
25549,24540741,1,0,0x10000010,8,02,25,00,01,02,00,FF,05
25549,24541034,1,0,0x10000011,8,00,00,0E,CF,00,00,00,00
25549,24541325,1,0,0x10000020,8,00,01,2C,59,64,00,FF,FF
25550,24541624,1,0,0x10000000,8,00,00,00,00,4C,FF,FF,FF
25550,24541911,1,0,0x10000100,8,0F,57,0F,4B,0D,07,FF,FF
25599,24591251,1,0,0x10000010,8,02,25,FF,FF,02,00,FF,05
25600,24591541,1,0,0x10000011,8,FF,FF,E9,09,00,00,00,00
25649,24641110,1,0,0x10000010,8,02,25,00,01,02,00,FF,05
