47595,53136063,0,0,0x675,8,1F,10,01,F5,00,00,00,00
47595,53136356,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
47695,53236433,0,0,0x675,8,1F,10,01,F5,00,00,00,00
47696,53236720,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
47796,53336790,0,0,0x675,8,1F,10,01,F5,00,00,00,00
47796,53337075,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
47896,53437133,0,0,0x675,8,1F,10,01,F5,00,00,00,00
47896,53437426,1,0,0x18FF5000,8,00,00,01,00,AC,C1,00,00
47996,53537490,0,0,0x675,8,1F,10,01,F5,00,00,00,00
47997,53537771,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
48097,53637845,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48097,53638132,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
48197,51118,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48197,51413,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
48297,151465,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48298,151757,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
48398,251817,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48398,252110,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
48498,352166,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48498,352451,1,0,0x18FF0300,8,AC,BF,00,02,0E,6B,0E,60
48599,452535,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48599,452828,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
48699,552881,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48699,553168,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
48799,653242,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48800,653527,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
48900,753615,0,0,0x675,8,1F,10,01,F5,00,00,00,00
48900,753908,1,0,0x18FF5000,8,00,00,01,00,AC,BF,00,00
49000,853957,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49000,854237,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
49100,954327,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49101,954615,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
49201,1054673,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49201,1054968,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
49301,1155017,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49301,1155310,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
49401,1255378,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49402,1255671,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
49502,1355732,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49502,1356016,1,0,0x18FF0300,8,AC,BE,00,02,0E,6B,0E,60
49602,1456077,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49602,1456370,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
49702,1556421,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49703,1556709,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
49803,1656773,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49803,1657058,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
49903,1757127,0,0,0x675,8,1F,10,01,F5,00,00,00,00
49903,1757418,1,0,0x18FF5000,8,00,00,01,00,AC,C2,00,00
50004,1857488,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50004,1857769,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
50104,1957849,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50104,1958136,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
50204,2058186,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50205,2058482,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
50305,2158567,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50305,2158860,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
50405,2258929,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50405,2259222,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
50505,2359271,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50506,2359552,1,0,0x18FF0300,8,AC,BF,00,02,0E,6B,0E,61
50606,2459615,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50606,2459907,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
50706,2559978,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50706,2560265,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
50806,2660360,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50807,2660644,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
50907,2760703,0,0,0x675,8,1F,10,01,F5,00,00,00,00
50907,2760996,1,0,0x18FF5000,8,00,00,01,00,AC,C4,00,00
51007,2861051,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51007,2861332,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
51107,2961384,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51108,2961671,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
51208,3061729,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51208,3062024,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
51308,3162067,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51308,3162359,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
51408,3262406,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51409,3262698,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
51509,3362744,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51509,3363029,1,0,0x18FF0300,8,AC,BE,00,02,0E,6B,0E,60
51609,3463080,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51609,3463373,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
51709,3563445,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51710,3563732,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
51810,3663745,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51810,3664029,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
51910,3764062,0,0,0x675,8,1F,10,01,F5,00,00,00,00
51910,3764355,1,0,0x18FF5000,8,00,00,01,00,AC,C1,00,00
52010,3864400,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52011,3864681,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
52111,3964739,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52111,3965024,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,61
52211,4065096,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52211,4065391,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
52311,4165432,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52312,4165725,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
52412,4265777,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52412,4266069,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
52512,4366130,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52512,4366415,1,0,0x18FF0300,8,AC,BE,00,02,0E,6B,0E,60
52613,4466490,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52613,4466783,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
52713,4566865,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52713,4567152,1,0,0x18FFE000,8,46,E2,06,36,00,00,FF,FF
52813,4667168,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52813,4667453,1,0,0x18FFF000,8,56,6A,FF,FF,00,0E,38,28
52914,4767523,0,0,0x675,8,1F,10,01,F5,00,00,00,00
52914,4767814,1,0,0x18FF5000,8,00,00,01,00,AC,C2,00,00
53014,4867862,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53014,4868143,1,0,0x18FF4000,8,10,AD,75,74,03,00,BB,5A
53114,4968221,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53115,4968509,1,0,0x18FF0600,8,00,9F,02,00,0E,6B,0E,60
53215,5068570,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53215,5068865,1,0,0x18FF0700,8,01,BA,46,00,00,00,FF,FF
53315,5168916,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53315,5169209,1,0,0x18FF0800,8,00,CF,00,C6,FF,FF,00,00
53415,5269253,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53416,5269546,1,0,0x18FF1900,8,00,00,00,00,05,28,38,00
53516,5369621,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53516,5369910,1,0,0x18FF0300,8,AC,BE,00,02,0E,6A,0E,60
53616,5469974,0,0,0x675,8,1F,10,01,F5,00,00,00,00
53616,5470267,1,0,0x18FF0C00,8,00,00,00,00,00,CF,00,C6
53716,5570371,0,0,0x675,8,1F,10,01,F5,00,00,00,00
